20
-0.5,-0.05
0,9,0
1,9,0
2,9,0
3,9,0
4,9,0
5,9,0
6,9,0
7,9,0
7,8,0
8,9,0
9,9,0
10,9,0
11,9,0
12,9,0
13,9,0
14,9,0
15,9,0
16,9,0
17,9,0
18,9,2
19,9,0
0,10,0
1,10,0
2,10,0
3,10,0
4,10,0
5,10,0
6,10,0
7,10,0
8,10,0
9,10,0
10,10,0
11,10,0
12,10,0
13,10,0
14,10,0
15,10,0
16,10,0
17,10,0
18,10,0
19,10,0
0,11,0
1,11,0
2,11,0
3,11,0
4,11,0
5,11,0
6,11,0
7,11,0
8,11,0
9,11,0
10,11,0
11,11,0
12,11,0
13,11,0
14,11,0
15,11,0
16,11,0
17,11,0
18,11,0
19,11,0
0,12,0
1,12,0
2,12,0
3,12,0
4,12,0
5,12,0
6,12,0
7,12,0
8,12,0
9,12,0
10,12,0
11,12,0
12,12,0
13,12,0
14,12,0
15,12,0
16,12,0
17,12,0
18,12,0
19,12,0
0,13,0
1,13,0
2,13,0
3,13,0
4,13,0
5,13,0
6,13,0
7,13,0
8,13,0
9,13,0
10,13,0
11,13,0
12,13,0
13,13,0
14,13,0
15,13,0
16,13,0
17,13,0
18,13,0
19,13,0
